provinceID,provinceTh,provinceEn,regionID,areaKm2
นม,นครราชสีมา,Nakhon Ratchasima,NE,20493.964
ชม,เชียงใหม่,Chiang Mai,N,20107.057
กจ,กาญจนบุรี,Kanchanaburi,C,19483.148
ตก,ตาก,Tak,N,16406.65
อบ,อุบลราชธานี,Ubon Ratchathani,NE,16112.65
สฎ,สุราษฎร์ธานี,Surat Thani,S,12891.469
ชย,ชัยภูมิ,Chaiyaphum,NE,12778.287
มส,แม่ฮ่องสอน,Mae Hong Son,N,12681.259
พช,เพชรบูรณ์,Phetchabun,N,12668.416
ลป,ลำปาง,Lampang,N,12533.961
อด,อุดรธานี,Udon Thani,NE,11730.302
ชร,เชียงราย,Chiang Rai,N,11678.369
นน,น่าน,Nan,N,11472.072
ลย,เลย,Loei,NE,11424.612
ขก,ขอนแก่น,Khon Kaen,NE,10885.991
พล,พิษณุโลก,Phitsanulok,N,10815.854
บร,บุรีรัมย์,Buri Ram,NE,10322.885
นศ,นครศรีธรรมราช,Nakhon Si Thammarat,S,9942.502
สน,สกลนคร,Sakon Nakhon,NE,9605.764
นว,นครสวรรค์,Nakhon Sawan,N,9597.677
ศก,ศรีสะเกษ,Si Sa Ket,NE,8839.976
กพ,กำแพงเพชร,Kamphaeng Phet,N,8607.49
รอ,ร้อยเอ็ด,Roi Et,NE,8299.449
สร,สุรินทร์,Surin,NE,8124.056
อต,อุตรดิตถ์,Uttaradit,N,7838.592
สข,สงขลา,Songkhla,S,7393.889
นค,หนองคาย,Nong Khai,NE,7332.28
สก,สระแก้ว,Sa Kaeo,C,7195.436
กส,กาฬสินธุ์,Kalasin,NE,6946.746
อน,อุทัยธานี,Uthai Thani,N,6730.246
สท,สุโขทัย,Sukhothai,N,6596.092
พร,แพร่,Phrae,N,6538.598
ปข,ประจวบคีรีขันธ์,Prachuap Khiri Khan,C,6367.62
จบ,จันทบุรี,Chanthaburi,C,6338.0
พย,พะเยา,Phayao,N,6335.06
พบ,เพชรบุรี,Phetchaburi,C,6225.138
ลบ,ลพบุรี,Lop Buri,C,6199.753
ชพ,ชุมพร,Chumphon,S,6010.849
นพ,นครพนม,Nakhon Phanom,NE,5512.668
สพ,สุพรรณบุรี,Suphan Buri,C,5358.008
ฉช,ฉะเชิงเทรา,Chachoengsao,C,5351.0
มค,มหาสารคาม,Maha Sarakham,NE,5291.683
รบ,ราชบุรี,Ratchaburi,C,5196.462
ตง,ตรัง,Trang,S,4917.519
ปจ,ปราจีนบุรี,Prachin Buri,C,4762.362
กบ,กระบี่,Krabi,S,4708.512
พจ,พิจิตร,Phichit,N,4531.013
ยล,ยะลา,Yala,S,4521.078
ลพ,ลำพูน,Lamphun,N,4505.882
นธ,นราธิวาส,Narathiwat,S,4475.43
ชบ,ชลบุรี,Chon Buri,C,4611.829
มห,มุกดาหาร,Mukdahan,NE,4339.83
พง,พังงา,Phangnga,S,4170.895
ยส,ยโสธร,Yasothon,NE,4161.664
นภ,หนองบัวลำภู,Nong Bua Lam Phu,NE,3859.086
สบ,สระบุรี,Saraburi,C,3576.486
รย,ระยอง,Rayong,C,3552.0
พท,พัทลุง,Phatthalung,S,3424.473
รน,ระนอง,Ranong,S,3298.045
อจ,อำนาจเจริญ,Amnat Charoen,NE,3161.248
ตร,ตราด,Trat,C,2819.0
อย,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,C,2556.64
สต,สตูล,Satun,S,2478.977
ชน,ชัยนาท,Chai Nat,C,2469.746
นฐ,นครปฐม,Nakhon Pathom,C,2168.327
นย,นครนายก,Nakhon Nayok,C,2122.0
ปน,ปัตตานี,Pattani,S,1940.356
กทม,กรุงเทพมหานคร,Krung Thep Maha Nakhon,C,1568.737
ปท,ปทุมธานี,Pathum Thani,C,1525.856
สป,สมุทรปราการ,Samut Prakan,C,1004.092
อท,อ่างทอง,Ang Thong,C,968.372
สค,สมุทรสาคร,Samut Sakhon,C,872.347
สห,สิงห์บุรี,Sing Buri,C,822.478
นบ,นนทบุรี,Nonthaburi,C,622.303
ภก,ภูเก็ต,Phuket,S,543.034
สส,สมุทรสงคราม,Samut Songkhram,C,416.707
บก,บึงกาฬ,Bueng Kan,NE,4305.0
